game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
56,Saturday Jun 1,TBR,L,2,6,,35-21,2,2.5,Gibson,Chirinos,,3:39,D,14381,1.2,--, MIN,Yonny Chirinos (R),Kyle Gibson (R),L -113,P 8
55,Friday May 31,TBR,L,3,5,,35-20,2,1.5,Rogers,Castillo,,2:48,N,14375,1.17,-, MIN,Ryne Stanek (R),Jose Berrios (R),L -132,P 8
54,Thursday May 30,TBR,W,14,3,,35-19,2,0.5,Morton,Perez,,2:44,N,8076,1.21,++++++, MIN,Charlie Morton (R),Martin Perez (L),W -152,O 8
53,Wednesday May 29,TBR,W-wo,4,3,11,34-19,2,1,Castillo,Shafer,,4:03,N,6166,1.2,+++++, TOR,Blake Snell (L),Trent Thornton (R),W -257,P 7
52,Tuesday May 28,TBR,W,3,1,,33-19,2,1,Yarbrough,Richard,Castillo,2:49,N,5786,1.19,++++, TOR,Ryne Stanek (R),Clayton Richard (L),W -196,U 8.5
51,Monday May 27,TBR,W,8,3,,32-19,2,2,Chirinos,Sanchez,,3:20,D,15883,1.26,+++, TOR,Yonny Chirinos (R),Aaron Sanchez (R),W -179,O 8
50,Sunday May 26,TBR,W,6,3,,31-19,2,2,Beeks,Bauer,Alvarado,3:18,D,20288,1.29,++, @ CLE,Ryne Stanek (R),Trevor Bauer (R),W -104,O 8.5
49,Saturday May 25,TBR,W,6,2,,30-19,2,3,Morton,Carrasco,,2:55,N,25882,1.33,+, @ CLE,Charlie Morton (R),Carlos Carrasco (R),W 115,U 8.5
48,Friday May 24,TBR,L,1,3,,29-19,2,2.5,Cole,Alvarado,Hand,3:20,N,24084,1.28,-, @ CLE,Blake Snell (L),Shane Bieber (R),L -130,U 7.5
47,Thursday May 23,TBR,W,7,2,,29-18,2,2,Yarbrough,Plutko,,2:47,N,18884,1.31,++, @ CLE,Ryan Yarbrough (L),Adam Plutko (R),W -126,U 9.5
46,Wednesday May 22,TBR,W,8,1,,28-18,2,2,Pagan,Floro,,2:51,N,12826,1.25,+, LAD,Ryne Stanek (R),Rich Hill (L),W 110,O 8
45,Tuesday May 21,TBR,L,3,7,,27-18,2,2,Kershaw,Wood,,3:10,N,15862,1.22,--, LAD,Hunter Wood (R),Clayton Kershaw (L),L 121,O 8
44,Sunday May 19,TBR,L,5,13,,27-17,2,0.5,Ottavino,Castillo,Adams,3:27,D,43032,1.67,-, @ NYY,Charlie Morton (R),Chad Green (R),L 102,O 9
43,Saturday May 18,TBR,W,2,1,11,27-16,1,up 0.5,Wood,Cessa,Alvarado,3:39,D,43079,1.66,+, @ NYY,Blake Snell (L),Masahiro Tanaka (R),W -112,U 8.5
42,Friday May 17,TBR,L-wo,3,4,,26-16,2,0.5,Holder,Alvarado,,3:08,N,41281,1.58,-, @ NYY,Ryne Stanek (R),CC Sabathia (L),L -104,U 10
41,Wednesday May 15,TBR,W,1,0,,26-15,1,up 0.5,Beeks,Urena,Castillo,3:06,N,5947,1.26,++, @ MIA,Ryne Stanek (R),Jose Urena (R),W -180,U 7.5
40,Tuesday May 14,TBR,W,4,0,,25-15,1,up 1.0,Morton,Smith,,2:52,N,6306,1.25,+, @ MIA,Charlie Morton (R),Caleb Smith (L),W -140,U 6.5
39,Sunday May 12,TBR,L,1,7,,24-15,1,up 0.5,Tanaka,Snell,,2:55,D,25025,1.6,-, NYY,Blake Snell (L),Masahiro Tanaka (R),L -191,O 7
38,Saturday May 11,TBR,W,7,2,,24-14,1,up 1.5,Chirinos,Holder,,2:54,N,25025,1.61,+, NYY,Ryne Stanek (R),CC Sabathia (L),W -136,O 8.5
37,Friday May 10,TBR,L,3,4,,23-14,1,up 0.5,German,Glasnow,Chapman,3:05,N,20846,1.64,--, NYY,Tyler Glasnow (R),Domingo German (R),L -166,P 7
36,Wednesday May 8,TBR,L,2,3,13,23-13,1,up 2.0,Bradley,Kolarek,Godley,4:39,D,8663,1.24,-, ARI,Charlie Morton (R),Robbie Ray (L),L -151,U 7.5
35,Tuesday May 7,TBR,W,6,3,,23-12,1,up 2.0,Beeks,Clarke,,3:19,N,8059,1.26,++, ARI,Ryne Stanek (R),Taylor Clarke (R),W -167,O 8.5
34,Monday May 6,TBR,W,12,1,,22-12,1,up 2.0,Snell,Kelly,,2:54,N,8124,1.22,+, ARI,Blake Snell (L),Merrill Kelly (R),W -207,O 7.5
33,Saturday May 4,TBR,L,0,3,,21-12,1,up 2.5,Bundy,Chirinos,Givens,2:19,N,15241,1.32,-, @ BAL,Yonny Chirinos (R),Dylan Bundy (R),L -171,U 9.5
32,Friday May 3,TBR,W,7,0,,21-11,1,up 2.5,Glasnow,Straily,,2:38,N,10034,1.31,++, @ BAL,Tyler Glasnow (R),Dan Straily (R),W -228,U 9.5
31,Thursday May 2,TBR,W,3,1,,20-11,1,up 2.5,Kolarek,Peralta,Castillo,2:33,D,23343,1.27,+, @ KC,Charlie Morton (R),Danny Duffy (L),W -158,U 8
30,Wednesday May 1 (2),TBR,L,2,8,,19-11,1,up 2.0,Sparkman,Snell,,2:41,D,11411,1.24,--, @ KC,Blake Snell (L),Glenn Sparkman (R),L -222,O 8
29,Wednesday May 1 (1),TBR,L,2,3,,19-10,1,up 2.0,Junis,Stanek,Kennedy,2:37,D,,1.23,-, @ KC,Ryne Stanek (R),Jakob Junis (R),L -132,U 8.5
28,Monday Apr 29,TBR,W,8,5,,19-9,1,up 2.0,Chirinos,Keller,,2:51,N,11744,1.26,+++, @ KC,Ryne Stanek (R),Brad Keller (R),W -155,O 8.5
27,Sunday Apr 28,TBR,W,5,2,,18-9,1,up 1.5,Glasnow,Sale,Castillo,2:31,D,33823,1.37,++, @ BOS,Tyler Glasnow (R),Chris Sale (L),W 120,U 8
26,Saturday Apr 27,TBR,W,2,1,,17-9,1,up 1.5,Morton,Price,Pagan,3:21,D,34773,1.39,+, @ BOS,Charlie Morton (R),David Price (L),W 119,U 9
25,Wednesday Apr 24,TBR,L,2,10,,16-9,1,up 1.5,Junis,Snell,,3:06,D,9502,1.22,-, KC,Blake Snell (L),Jakob Junis (R),L -220,O 7
24,Tuesday Apr 23,TBR,W,5,2,,16-8,1,up 2.5,Beeks,Bailey,Pagan,2:54,N,8298,1.19,++, KC,Ryne Stanek (R),Homer Bailey (R),W -183,U 8.5
23,Monday Apr 22,TBR,W,6,3,,15-8,1,up 2.5,Font,Keller,Pagan,2:37,N,9914,1.22,+, KC,Yonny Chirinos (R),Brad Keller (R),W -172,O 7.5
22,Sunday Apr 21,TBR,L,3,4,11,14-8,1,up 2.5,Walden,Alvarado,Brasier,4:09,D,18740,1.38,----, BOS,Tyler Glasnow (R),David Price (L),L -107,U 8
21,Saturday Apr 20,TBR,L,5,6,,14-7,1,up 3.5,Barnes,Alvarado,Brasier,3:12,N,22940,1.36,---, BOS,Charlie Morton (R),Rick Porcello (R),L -138,O 8.5
20,Friday Apr 19,TBR,L,4,6,,14-6,1,up 4.5,Workman,Castillo,Brasier,3:04,N,21343,1.36,--, BOS,Ryne Stanek (R),Eduardo Rodriguez (L),L -105,O 8
19,Thursday Apr 18,TBR,L,5,6,11,14-5,1,up 5.5,Means,Castillo,,4:15,N,9081,1.37,-, BAL,Hunter Wood (R),Andrew Cashner (R),L -239,O 8.5
18,Wednesday Apr 17,TBR,W,8,1,,14-4,1,up 5.5,Chirinos,Hess,,2:43,N,9028,1.39,+++, BAL,Ryne Stanek (R),David Hess (R),W -244,O 8
17,Tuesday Apr 16,TBR,W,4,2,,13-4,1,up 5.5,Glasnow,Bundy,Castillo,2:41,N,9842,1.41,++, BAL,Tyler Glasnow (R),Dylan Bundy (R),W -235,U 8
16,Sunday Apr 14,TBR,W,8,4,,4-Dec,1,up 5.5,Kolarek,Stroman,,3:41,D,20512,1.36,+, @ TOR,Charlie Morton (R),Marcus Stroman (R),W -128,O 8
15,Saturday Apr 13,TBR,L,1,3,,4-Nov,1,up 4.5,Pannone,Roe,Giles,2:44,D,20771,1.35,-, @ TOR,Blake Snell (L),Clay Buchholz (R),L -199,U 8
14,Friday Apr 12,TBR,W,11,7,,3-Nov,1,up 5.5,Yarbrough,Thornton,,3:21,N,17326,1.36,+++++, @ TOR,Ryne Stanek (R),Trent Thornton (R),W -144,O 8.5
13,Wednesday Apr 10,TBR,W,9,1,,3-Oct,1,up 4.5,Glasnow,Lopez,Beeks,3:00,D,11107,1.17,++++, @ CHW,Tyler Glasnow (R),Reynaldo Lopez (R),W -164,O 8.5
12,Tuesday Apr 9,TBR,W,10,5,,3-Sep,1,up 3.5,Morton,Santana,,3:56,D,10799,1.2,+++, @ CHW,Charlie Morton (R),Ervin Santana (R),W -164,O 8.5
11,Monday Apr 8,TBR,W,5,1,,3-Aug,1,up 2.5,Snell,Rodon,Wood,3:25,D,11734,1.16,++, @ CHW,Blake Snell (L),Carlos Rodon (L),W -167,U 7.5
10,Sunday Apr 7,TBR,W,3,0,,3-Jul,1,up 1.5,Chirinos,Pomeranz,Alvarado,3:06,D,31574,1.08,+, @ SF,Yonny Chirinos (R),Drew Pomeranz (L),W -109,U 7
9,Saturday Apr 6,TBR,L,4,6,,3-Jun,1,up 1.5,Bergen,Yarbrough,Smith,2:51,D,31828,1.1,-, @ SF,Ryne Stanek (R),Jeff Samardzija (R),L -127,O 7.5
8,Friday Apr 5,TBR,W,5,2,,2-Jun,1,up 1.5,Glasnow,Rodriguez,Alvarado,3:06,D,41067,1.06,+, @ SF,Tyler Glasnow (R),Dereck Rodriguez (R),W -109,P 7
7,Wednesday Apr 3,TBR,L,0,1,11,2-May,1,up 0.5,Davis,Roe,,3:19,D,11093,1.07,-, COL,Charlie Morton (R),German Marquez (R),L -126,U 6.5
6,Tuesday Apr 2,TBR,W,4,0,,1-May,1,up 0.5,Snell,Freeland,,2:50,N,10933,1.02,+++++, COL,Blake Snell (L),Kyle Freeland (L),W -167,U 7
5,Monday Apr 1,TBR,W,7,1,,1-Apr,1,up 0.5,Yarbrough,Bettis,,2:54,N,10860,0.98,++++, COL,Ryne Stanek (R),Chad Bettis (R),W -144,U 8.5
4,Sunday Mar 31,TBR,W,3,1,,1-Mar,1,up 0.5,Chirinos,Miley,Castillo,2:12,D,18473,0.96,+++, HOU,Yonny Chirinos (R),Wade Miley (L),W 102,U 8.5
3,Saturday Mar 30,TBR,W,3,1,,1-Feb,1,Tied,Glasnow,McHugh,Alvarado,2:40,N,16010,0.94,++, HOU,Tyler Glasnow (R),Collin McHugh (R),W 105,U 8
2,Friday Mar 29,TBR,W,4,2,,1-Jan,2,0.5,Morton,Cole,Alvarado,2:38,N,13059,0.9,+, HOU,Charlie Morton (R),Gerrit Cole (R),W 127,U 7
1,Thursday Mar 28,TBR,L,1,5,,0-1,2,1,Verlander,Snell,,2:38,D,25025,0.95,-, HOU,Blake Snell (L),Justin Verlander (R),L 120,U 7
