game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
61,Sunday Jun 6,SDP,L,2,6,,36-25,2,2,Stroman,Paddack,,3:17,D,16120,1.3,--,†NYM,Chris Paddack†(R),Marcus Stroman†(R),L†-144,O†7
60,Saturday Jun 5,SDP,L,0,4,,36-24,2,2,deGrom,Musgrove,,3:25,N,16644,1.3,-,†NYM,Joe Musgrove†(R),Jacob deGrom†(R),L†109,U†5.5
59,Friday Jun 4,SDP,W,2,0,,36-23,2,1,Snell,Lucchesi,Melancon,3:07,N,16268,1.28,++,†NYM,Blake Snell†(L),Joey Lucchesi†(L),W†-166,U†7
58,Thursday Jun 3,SDP,W,4,3,,35-23,2,1,Darvish,Walker,Melancon,3:35,N,15250,1.28,+,†NYM,Yu Darvish†(R),Taijuan Walker†(R),W†-189,O†6.5
57,Wednesday Jun 2,SDP,L,1,6,,34-23,2,1,Alzolay,Johnson,,3:16,D,22056,1.35,----,†@ CHC,Dinelson Lamet†(R),Adbert Alzolay†(R),L†107,P†7
56,Tuesday Jun 1,SDP,L,3,4,,34-22,2,0.5,Hendricks,Weathers,Kimbrel,2:52,N,24824,1.31,---,†@ CHC,Ryan Weathers†(L),Kyle Hendricks†(R),L†111,U†8.5
55,Monday May 31,SDP,L,2,7,,34-21,2,0.5,Stewart,Paddack,,2:53,D,24824,1.26,--,†@ CHC,Chris Paddack†(R),Kohl Stewart†(R),L†-136,U†10
54,Sunday May 30,SDP,L,4,7,,34-20,1,up 0.5,Greinke,Snell,,2:47,D,29019,1.21,-,†@ HOU,Blake Snell†(L),Zack Greinke†(R),L†107,O†8.5
53,Saturday May 29,SDP,W,11,8,12,34-19,1,up 1.5,Adams,Garza,Diaz,5:08,D,31323,1.24,++,†@ HOU,Yu Darvish†(R),Jake Odorizzi†(R),W†-150,O†8
52,Friday May 28,SDP,W,10,3,11,33-19,1,up 1.5,Melancon,Raley,,4:43,N,32045,1.28,+,†@ HOU,Dinelson Lamet†(R),Framber Valdez†(L),W†102,O†8.5
51,Thursday May 27,SDP,L-wo,5,6,10,32-19,1,up 0.5,Suter,Diaz,,3:51,D,13572,1.25,-,†@ MIL,Ryan Weathers†(L),Adrian Houser†(R),L†-110,O†8
50,Wednesday May 26,SDP,W,2,1,10,32-18,1,up 1.5,Adams,Suter,Melancon,3:04,N,13478,1.22,++,†@ MIL,Chris Paddack†(R),Eric Lauer†(L),W†-117,U†8
49,Tuesday May 25,SDP,W,7,1,,31-18,1,up 0.5,Hill,Burnes,,3:06,N,13566,1.29,+,†@ MIL,Joe Musgrove†(R),Corbin Burnes†(R),W†115,O†7
